epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,85.029,1.83833,0.37155,0.91655,1.70714,0.00331852,0.00331852,0.00331852
2,163.357,1.59349,0.44929,0.95166,1.52845,0.00652015,0.00652015,0.00652015
3,253.693,1.6244,0.43243,0.95472,1.47411,0.00958977,0.00958977,0.00958977
4,335.448,1.61772,0.43731,0.9504,1.46411,0.009406,0.009406,0.009406
5,444.136,1.39484,0.52173,0.9713,1.2523,0.009208,0.009208,0.009208
6,540.385,1.32443,0.53859,0.97785,1.19565,0.00901,0.00901,0.00901
7,638.924,1.27858,0.55141,0.97813,1.15726,0.008812,0.008812,0.008812
8,737.686,1.24677,0.55308,0.98022,1.17778,0.008614,0.008614,0.008614
9,834.693,1.22357,0.54542,0.97855,1.15588,0.008416,0.008416,0.008416
10,925.97,1.20399,0.57802,0.98495,1.11077,0.008218,0.008218,0.008218
11,1017.61,1.18735,0.57913,0.98231,1.12544,0.00802,0.00802,0.00802
12,1110.58,1.17828,0.5861,0.98398,1.071,0.007822,0.007822,0.007822
13,1209.99,1.16249,0.57286,0.98537,1.14358,0.007624,0.007624,0.007624
14,1299.09,1.15369,0.5815,0.98342,1.10188,0.007426,0.007426,0.007426
15,1388.6,1.1465,0.59613,0.98523,1.08809,0.007228,0.007228,0.007228
16,1476.13,1.13695,0.60156,0.98579,1.0566,0.00703,0.00703,0.00703
17,1573.42,1.12972,0.61173,0.98579,1.0271,0.006832,0.006832,0.006832
18,1670.43,1.1237,0.59668,0.98342,1.0574,0.006634,0.006634,0.006634
19,1765.8,1.10831,0.61089,0.98677,1.02747,0.006436,0.006436,0.006436
20,1856.15,1.11007,0.60518,0.98481,1.03987,0.006238,0.006238,0.006238
21,1945.39,1.10321,0.61744,0.98746,1.02489,0.00604,0.00604,0.00604
22,2030.04,1.09406,0.618,0.98704,1.03157,0.005842,0.005842,0.005842
23,2121.8,1.08967,0.62817,0.98913,0.99625,0.005644,0.005644,0.005644
24,2205.85,1.08051,0.618,0.98704,0.99636,0.005446,0.005446,0.005446
25,2291.31,1.06714,0.62218,0.98481,1.02693,0.005248,0.005248,0.005248
26,2375.7,1.06463,0.62998,0.98774,0.98187,0.00505,0.00505,0.00505
27,2471.87,1.06059,0.63054,0.98816,0.96258,0.004852,0.004852,0.004852
28,2559.32,1.05727,0.63722,0.9883,0.9558,0.004654,0.004654,0.004654
29,2654.6,1.04429,0.63625,0.98746,0.9638,0.004456,0.004456,0.004456
30,2743.83,1.04109,0.63514,0.98816,0.97509,0.004258,0.004258,0.004258
31,2835.1,1.04087,0.63346,0.99011,0.97505,0.00406,0.00406,0.00406
32,2926.27,1.02451,0.63722,0.98844,0.97061,0.003862,0.003862,0.003862
33,3016.67,1.01817,0.64935,0.98955,0.93636,0.003664,0.003664,0.003664
34,3106.18,1.0153,0.64294,0.98844,0.94973,0.003466,0.003466,0.003466
35,3196.1,1.00945,0.64656,0.98983,0.9642,0.003268,0.003268,0.003268
36,3286,0.99616,0.64656,0.99039,0.9448,0.00307,0.00307,0.00307
37,3376.9,0.99011,0.64753,0.98872,0.93873,0.002872,0.002872,0.002872
38,3468.1,0.98519,0.65269,0.98927,0.93413,0.002674,0.002674,0.002674
39,3587.92,0.97602,0.6538,0.98885,0.94216,0.002476,0.002476,0.002476
40,3702.54,0.96992,0.646,0.98913,0.93107,0.002278,0.002278,0.002278
41,3830.18,0.95584,0.65241,0.98858,0.94078,0.00208,0.00208,0.00208
42,3948.5,0.95155,0.65743,0.98913,0.92179,0.001882,0.001882,0.001882
43,4069.35,0.94229,0.65687,0.98941,0.92738,0.001684,0.001684,0.001684
44,4185.71,0.93016,0.65729,0.98969,0.90896,0.001486,0.001486,0.001486
45,4300.45,0.916,0.65617,0.98844,0.9443,0.001288,0.001288,0.001288
46,4419.35,0.91328,0.65478,0.98941,0.9007,0.00109,0.00109,0.00109
47,4534.38,0.90314,0.65673,0.98941,0.91787,0.000892,0.000892,0.000892
48,4657.18,0.89474,0.65812,0.98858,0.92308,0.000694,0.000694,0.000694
49,4763.9,0.87923,0.66188,0.98969,0.94301,0.000496,0.000496,0.000496
50,4876.22,0.87512,0.66049,0.98913,0.91936,0.000298,0.000298,0.000298
